new_filename,original_filename,kinematics,engagement_distance_threshold,engagement_time_threshold,n_trials,trial_order,bounding_box,exp_condition,real_fish_fps_avg,virtual_fish_fps_avg,pixel_to_mm
81325_exp7,81325/vid_7,v2',80,1.0,11,[2 2 3 5 4 5 1 3 1 4],"[[157, 148], [722, 146], [715, 692], [166, 705]]",kinematics_v2_engagement_threshold_1,50.409446476925304,29.997384456822004,0.5051872412877231
81325_exp9,81325/vid_9,v2',80,1.0,11,[1 5 5 3 3 1 2 4 4 2],"[[154, 145], [723, 146], [716, 690], [167, 702]]",kinematics_v2_engagement_threshold_1,50.534663617454314,29.9984934591763,0.5047331425192624
81325_exp11,81325/vid_11,v2',80,1.0,11,[2 1 3 4 5 3 5 4 1 2],"[[154, 144], [724, 147], [716, 691], [166, 708]]",kinematics_v2_engagement_threshold_1,50.38198717555562,30.00113140665539,0.5026889475314812
81325_exp2,81325/vid_2,v2',80,1.0,11,[5 2 4 3 1 2 5 3 4 1],"[[157, 143], [723, 147], [715, 693], [166, 704]]",kinematics_v2_engagement_threshold_1,50.44132033469758,29.998807559896044,0.5040522426817876
81325_exp1,81325/vid_1,v2',80,1.0,11,[5 3 4 2 1 3 5 1 4 2],"[[151, 147], [722, 149], [714, 689], [166, 704]]",kinematics_v2_engagement_threshold_1,49.16725899253165,29.997531265965726,0.5054213378956982
81325_exp14,81325/vid_14,v2',80,1.0,11,[1 2 2 1 4 3 4 5 3 5],"[[158, 145], [719, 145], [716, 692], [168, 706]]",kinematics_v2_engagement_threshold_1,50.42138742394178,30.001333625654297,0.5051670970345742
81325_exp15,81325/vid_15,v2',80,1.0,11,[1 4 2 5 1 2 4 5 3 3],"[[156, 144], [721, 144], [713, 693], [168, 703]]",kinematics_v2_engagement_threshold_1,50.452487203458794,29.999622700990948,0.5049514168650703
81325_exp3,81325/vid_3,v2',80,1.0,11,[3 2 4 1 4 1 5 2 5 3],"[[156, 145], [721, 145], [715, 695], [164, 704]]",kinematics_v2_engagement_threshold_1,50.35511949557253,29.966966250892668,0.5033696172212853
81325_exp8,81325/vid_8,v2',80,1.0,11,[2 5 1 4 3 2 5 3 4 1],"[[158, 145], [719, 145], [714, 691], [167, 703]]",kinematics_v2_engagement_threshold_1,50.4132968587552,29.997374723133536,0.5063200077989815
81325_exp5,81325/vid_5,v2',80,1.0,11,[4 3 4 5 2 2 3 1 5 1],"[[156, 146], [721, 147], [716, 691], [168, 701]]",kinematics_v2_engagement_threshold_1,50.215049135277255,29.995351273520654,0.5063262164673259
81325_exp10,81325/vid_10,v2',80,1.0,11,[1 4 1 5 3 2 5 4 2 3],"[[155, 146], [721, 147], [717, 692], [167, 704]]",kinematics_v2_engagement_threshold_1,50.478392499186995,30.001595484664048,0.504722482229644
81325_exp6,81325/vid_6,v2',80,1.0,11,[2 3 1 4 4 5 2 1 3 5],"[[156, 145], [721, 146], [718, 689], [164, 704]]",kinematics_v2_engagement_threshold_1,50.47352336927383,29.997469443990965,0.5042778125731585
81325_exp13,81325/vid_13,v2',80,1.0,11,[5 5 4 3 2 3 1 1 4 2],"[[155, 144], [722, 147], [716, 696], [167, 706]]",kinematics_v2_engagement_threshold_1,50.48337364101528,29.99578678673768,0.5029114744744451
